id_prod,PN,Description
5834,0997114-01,RS-4835-LH-D-144TB-46-CN-DELL
5835,0997115-01,RS-4835-LH-D-144TB-47-ISR-DELL
5836,0997116-01,RS-4835-LH-D-144TB-48-SA-DELL
5837,0997121-01,SP-2U-UNI-RACK-KIT-FRU-PSI
5838,0997121-02,SP-2U-UNI-RACK-KIT-FRU-PSI
5839,0997121-03,SP-2U-UNI-RACK-KIT-FRU-PSI
5840,0997135-01,XCSP Con CS1500 (AC-16) DVT 0997134
5841,0997137-01,XCSP Con CS1500 (AC-16) DVT 0997136
5842,0997139-01,XCSP Con CS1500 (AC-16) DVT 0997138
5843,0997141-01,XCSP Con CS1500 (AC-16) DVT 0989562-05
5844,0997143-01,XCSP Con CS1500 (AC-16) DVT 0997142
5845,0997145-01,XCSP Con CS1500 (AC32) CT DVT 0997144
5846,0997147-01,XCSP Con CS1500 (AC32) CT DVT 0997146
5847,0997149-01,XCSP Con CS1500 (AC32) CT DVT 0997148
5848,0997151-01,XCSP Con CS1500 (AC32) CT DVT 0997150
5849,0997170-01,Eval AP-BR-AC16-1265-FRU-DELL
5850,0997170-02,AP-BR-AC16-1265-FRU-DELL
5851,0997170-03,AP-BR-AC16-1265-FRU-DELL
5852,0997170-04,AP-BR-AC16-1265-FRU-DELL
5853,0997170-05,AP-BR-AC16-1265-FRU-DELL
5854,0997170-06,AP-BR-AC16-1265-FRU-DELL
5855,0997170-21,AP-BR-AC16-1265-FRU-DELL
5856,0997170-22,AP-BR-AC16-1265-FRU-DELL
5857,0997179-01,AP-2212-1-8.4TB-R05-MS (5020A)
5858,0997179-02,AP-2212-1-8.4TB-R05-MS (5020A)
5859,0997179-03,(HB-1235) AP-2212-1-8.4TB-R05-MS (5020)
5860,0997179-04,>(HB-1235) AP-2212-1-8.4TB-R05-MS (5020)
5861,0997180-01,AP-2212-1-14.6TB-R05-MS (7020A)
5862,0997180-02,AP-2212-1-14.6TB-R05-MS (7020)
5863,0997180-03,(HB-1235) AP-2212-1-14.6TB-R05-MS (7020)
5864,0997180-04,>(HB-1235)AP-2212-1-14.6TB-R05-MS (7020)
5865,0997181-01,AP-2212-1-28.2TB-R05-MS (5520)
5866,0997181-02,AP-2212-1-28.2TB-R05-MS (5520)
5867,0997181-03,(HB-1235) AP-2212-1-28.2TB-R05-MS (5520)
5868,0997181-04,>(HB-1235)AP-2212-1-28.2TB-R05-MS (5520)
5869,0997182-01,AP+SP-2212-1-59TB-R05-MS (7520)
5870,0997182-02,AP+SP-2212-1-59TB-R05-MS (7520)
5871,0997182-03,AP+SP-2212-1-59TB-R05-MS (7520)
5872,0997182-04,>(HB-1235) AP-2212-1-59TB-R05-MS (7520)
5873,0997381-01,Not required
5874,0997383-01,Not required
5875,0997398-01,CS-SW-ETH1-10G-M-48-1
5876,0997399-01,CS-SW-ETH1-10G-M-48-2
5877,0997400-01,CS-SW-ETH1-10G-M-48-1-FRU
5878,0997401-01,CS-SW-10G1-FAN-FRU
5879,0997402-01,HS-PCI-SAS-LSI9260-4I-FRU-RVD
5880,0997410-01,AP-2212-1-8.4TB-PUL2-R08-MS (5020A)
5881,0997410-02,AP-2212-1-8.4TB-PUL2-R08-MS (5020A)
5882,0997410-03,AP-2212-1-8.4TB-R08-MS (5020A)
5883,0997410-04,>AP-2212-1-8.4TB-R08-MS (5020)
5884,0997411-01,AP-2212-1-14.6TB-PUL2-R08-MS (7020A)
5885,0997411-02,AP-2212-1-14.6TB-PUL2-R08-MS (7020A)
5886,0997411-03,AP-2212-1-14.6TB-R08-MS (7020A)
5887,0997411-04,>AP-2212-1-14.6TB-R08-MS (7020)
5888,0997412-01,AP-2212-1-28.2TB-PUL2-R08-MS (5520)
5889,0997412-02,AP-2212-1-28.2TB-PUL2-R08-MS (5520)
5890,0997412-03,AP-2212-1-28.2TB-R08-MS (5520)
5891,0997412-04,>AP-2212-1-28.2TB-R08-MS (5520)
5892,0997413-01,AP+SP-2212-1-59TB-PUL2-R08-MS (7520)
5893,0997413-02,AP+SP-2212-1-59TB-PUL2-R08-MS (7520)
5894,0997413-03,AP+SP-2212-1-59TB-R08-MS (7520)
5895,0997413-04,>AP+SP-2212-1-59TB-R08-MS (7520)
5896,0997417-01,>AP-2212-1-8.4TB-R11-MS (5020) (HB-1235)
5897,0997418-01,>AP-2212-1-14.6TB-R11-MS (7020)(HB-1235)
5898,0997419-01,>AP-2212-1-28.2TB-R11-MS (5520)(HB-1235)
5899,0997420-01,>AP+SP-2212-1-59TB-R11-MS(7520)(HB-1235)
5900,0997421-01,Enclosure AP-2212-SR-8.4TB-MS (5020)
5901,0997422-01,Enclosure AP-2212-SR-14.6TB-MS (7020)
5902,0997423-01,Enclosure AP-2212-SR-28.2TB-MS (5520)
5903,0997424-01,Enclosure AP+SP-2212-SR-59TB-MS (7520)
5904,0997648-01,Eval AP-2425-X-FRU-DELL
5905,0997648-02,AP-2425-X-FRU-DELL
5906,0997648-04,AP-2425-X-FRU-DELL
5907,0997648-05,AP-2425-X-FRU-DELL
5908,0997653-01,Eval AP-PCM01-HE580-AC-FRU-DELL
5909,0997653-02,Eval AP-PCM01-HE580-AC-FRU-DELL
5910,0997653-03,AP-PCM01-HE580-AC-FRU-DELL
5911,0997670-01,EVAL ED-1200G10-SAS-COBE-6PK-DELL
5912,0997670-02,ED-1200G10-SAS-COBE-6PK-DELL
5913,0997680-01,ED-600G10-SAS-10K6-6PK-DELL
5914,0997680-02,ED-600G10-SAS-10K6-6PK-DELL
5915,0997682-01,BD-500G72-SAT3-CON2-FRU-RVD
5916,0997721-01,XCSP SSDIC 100GB Zeus FRU Pure 0997720
5917,0997723-01,XCSP RTV PN no longer required
5918,0997725-01,XCSP RTV PN no longer required
5919,0997765-01,XCSP SSDIC 800GB OPTIMUS FRU MS 0997764
5920,0997765-02,XCSP SSDIC 800GB OPTIMUS FRU MS 0997764
5921,0997767-01,XCSP SSDIC 400GB OPTIMUS FRU MS 0997766
5922,0997767-02,XCSP SSDIC 400GB OPTIMUS FRU MS 0997766
5923,0997769-01,XCSP HDDIC 4TB MEGALODON FRU MS 0997768
5924,0997785-01,XCSP HDDIC 2TB MEGALODON FRU DG 0997784
5925,0997785-02,XCSP HDDIC 2TB MEGALODON FRU DG 0997784
5926,0997785-03,XCSP HDDIC 2TB MEGALODON FRU DG 0997784
5927,0997787-01,XCSP HDDIC 4TB MEGALODON FRU DG 0997786
5928,0997787-02,XCSP HDDIC 4TB MEGALODON FRU DG 0997786
5929,0997787-03,XCSP HDDIC 4TB MEGALODON FRU DG 0997786
5930,0997789-01,XCSP SSDIC 400GB OPTIMUS FRU DG 0997788
5931,0997791-01,XCSP SSDIC 800GB OPTIMUS FRU DG 0997790
5932,0997811-01,CS-2425-CMU2
5933,0997811-02,>CS-2425-CMU2
5934,0997812-01,>CS-2425-CMU2-9TB9
5935,0997812-02,>CS-2425-CMU2-9TB9
5936,0997813-01,CS-2425-CMU2-13TB2
5937,0997813-02,>CS-2425-CMU2-13TB2
5938,0997814-01,CS-2584-CMU2
5939,0997814-02,>CS-2584-CMU2
5940,0997815-01,CS-2584-CMU2-24T6
5941,0997815-02,>CS-2584-CMU2-24T6
5942,0997816-01,CS-CMU-UPG2
5943,0997816-02,>CS-CMU-UPG2
5944,0997971-01,CS-2425-ECMU2-15KSSD-6TB6
5945,0997971-02,>CS-2425-ECMU2-15KSSD-6TB6
5946,0998005-01,HNW-2T72-SAS6-CES3-DD-FRU-SSI
5947,0998005-02,HNW-2T72-SAS6-CES3-DD-FRU-SSI
5948,0998006-01,HNW-3T72-SAS6-CES3-DD-FRU-SSI
5949,0998006-02,HNW-3T72-SAS6-CES3-DD-FRU-SSI
5950,0998067-01,CS-SW-MGT3-24-2
5951,0998068-01,CS-SW-MGT3-24-1-FRU
5952,0998070-01,CS-SW-MGT3-48-1-FRU
5953,0998070-02,CS-SW-MGT3-48-1-FRU
5954,0998073-01,CS-SW-MGT3-RACK-KIT-FRU
5955,0998082-01,AP-2212-TL-X-FRU-MS
5956,0998083-01,SP-BAT01-6C-FRU-MS
5957,0998083-02,SP-BAT01-6C-FRU-MS
5958,0998083-03,SP-BAT01-6C-FRU-MS
5959,0998084-01,SP-PCM01-580-AC-FRU-MS
5960,0998085-01,AP-TL-2648-32-1G-DUAL-PVT-FRU-MS
5961,0998085-02,AP-TL-2648-32-1G-DUAL-PVT-FRU-MS
5962,0998085-03,AP-TL-2648-32-1G-DUAL-PVT-FRU-MS
5963,0998085-04,AP-TL-2648-32-1G-DUAL-PVT-FRU-MS
5964,0998085-05,AP-TL-2648-32-1G-DUAL-PVT-FRU-MS
5965,0998085-06,AP-TL-2648-32-1G-DUAL-PVT-FRU-MS
5966,0998085-07,AP-TL-2648-32-1G-DUAL-PVT-FRU-MS
5967,0998086-01,HB-SBB2-E601-FRU-MS
5968,0998087-01,HNW-4T72-SAS6-RE-DD-FRU-MS
5969,0998087-02,HNW-4T72-SAS6-RE-DD-FRU-MS
5970,0998088-01,HNW-400GSS-SAS6-OPT-FRU-MS
5971,0998088-02,HNW-400GSS-SAS6-OPT-FRU-MS
5972,0998089-01,HNW-800GSS-SAS6-OPT-FRU-MS
5973,0998089-02,HNW-800GSS-SAS6-OPT-FRU-MS
5974,0998090-01,HNW-4T72-SAS6-CES3-DD-TL-FRU-MS
5975,0998094-02,HNW-2T72-SAS6-CES3-DD-FRU-IBMP
5976,0998163-01,CS-2584-6000ACT-82TB (CES3)
5977,0998163-02,CS-2584-6000ACT-82TB (CES3)
5978,0998163-03,CS-2584-6000ACT-82TB (CES3)
5979,0998163-04,CS-2584-6000ACT-82TB (CES3)
5980,0998163-05,>CS-2584-6000ACT-82TB (CES3)
5981,0998192-01,HB-2435-E6-2EBD-2P580-48TB-DG
5982,0998192-02,HB-2435-E6-2EBD-2P580-48TB-DG
5983,0998192-03,HB-2435-E6-2EBD-2P580-48TB-DG
5984,0998193-01,HB-2435-E6-2EBD-2P580-96TB-DG
5985,0998193-02,HB-2435-E6-2EBD-2P580-96TB-DG
5986,0998193-03,HB-2435-E6-2EBD-2P580-96TB-DG
5987,0998205-01,CS-UD-100GSS-SAS-T10-RPSB-FRU
5988,0998206-01,CS-2584-9000ACT-GR-T10-328TB (RE)
5989,0998206-02,> CS-2584-9000ACT-GR-T10-328TB (RE)
5990,0998232-01,CS-2425-CMU2-T10-13TB2 (10K6)
5991,0998233-01,UD-4T72-SAS-RE-40PK-AVD
5992,0998245-01,CP-2584-E6-2EBD-2P2800-CES3-168TB
5993,0998246-01,CP-2584-E6-2EBD-2P2800-CES3-336TB
5994,0998248-01,XCSP Controller EBOD FRU DG 0998247
5995,0998248-02,XCSP Controller EBOD FRU DG 0998247
5996,0998248-03,XCSP Controller EBOD FRU DG 0998247
5997,0998250-01,XCSP HDDIC 2TB MEGALODON FRU DG 0998249
5998,0998250-02,XCSP HDDIC 2TB MEGALODON FRU DG 0998249
5999,0998250-03,XCSP HDDIC 2TB MEGALODON FRU DG 0998249
6000,0998252-01,XCSP HDDIC 4TB MEGALODON FRU DG 0998251
6001,0998252-02,XCSP HDDIC 4TB MEGALODON FRU DG 0998251
6002,0998252-03,XCSP HDDIC 4TB MEGALODON FRU DG 0998251
6003,0998278-01,XCSP Sray 4Port TSH 0998277
6004,0998280-01,XCSP Sray 4Port TSH 0998279
6005,0998284-01,XCSP Sray 2Port TSH 0998283
6006,0998286-01,XCSP Sray 2Port TSH 0998285
6007,0998288-01,XCSP Sray 2Port TSH 0998287
6008,0998495-01,AP-2212-1-8.4TB-PUL2-R03-MS (5020)
6009,0998495-02,>AP-2212-1-8.4TB-R03-MS (5020)
6010,0998496-01,AP-2212-1-14.6TB-PUL2-R03-MS (7020)
6011,0998496-02,>AP-2212-1-14.6TB-R03-MS (7020)
6012,0998497-01,AP-2212-1-28.2TB-PUL2-R03-MS (5520)
6013,0998497-02,>AP-2212-1-28.2TB-R03-MS (5520)
6014,0998498-01,AP+SP-2212-1-59TB-PUL2-R03-MS (7520)
6015,0998498-02,>AP+SP-2212-1-59TB-R03-MS (7520)
6016,0998505-01,ES-200GSS-SAS-1625-FRU-PSI
6017,0998505-02,ES-200GSS-SAS-1625-FRU-PSI
6018,0998508-01,EB-2425PC-E6-2EBD-2P580-6TB-HG5-2-PSI
6019,0998508-02,EB-2425PC-E6-2EBD-2P580-6TB-HG5-2-PSI
6020,0998509-01,EB-2425PC-E6-2EBD-2P580-11TB-HG5-2-PSI
6021,0998509-02,EB-2425PC-E6-2EBD-2P580-11TB-HG5-2-PSI
6022,0998510-01,CS-2584-6000ACT-GR-T10-328TB (RE)
6023,0998510-02,CS-2584-6000ACT-GR-T10-328TB (RE)
6024,0998510-03,CS-2584-6000ACT-GR-T10-328TB (RE)
6025,0998510-04,> CS-2584-6000ACT-GR-T10-328TB (RE)
6026,0998513-01,XCSP SSDIC 200GB 1625 FRU PURE 0998511
6027,0998513-02,XCSP SSDIC 200GB 1625 FRU PURE 0998511
6028,0998513-03,XCSP SSDIC 200GB 1625 FRU PURE 0998511
6029,0998514-01,XCSP SSDIC 200GB 1625 FRU PURE 0998512
6030,0998514-02,XCSP SSDIC 200GB 1625 FRU PURE 0998512
6031,0998514-03,XCSP SSDIC 200GB 1625 FRU PURE 0998512
6032,0998516-01,AP-2212-1-8.4TB-PUL2-R04-MS (5020)
6033,0998516-02,>AP-2212-1-8.4TB-R04-MS (5020)
6034,0998517-01,AP-2212-1-14.6TB-PUL2-R04-MS (7020A)
6035,0998517-02,>AP-2212-1-14.6TB-R04-MS (7020)
6036,0998518-01,AP-2212-1-28.2TB-PUL2-R04-MS (5520)
6037,0998518-02,>AP-2212-1-28.2TB-R04-MS (5520)
6038,0998519-01,AP+SP-2212-1-59TB-PUL2-R04-MS (7520)
6039,0998519-02,>AP+SP-2212-1-59TB-R04-MS (7520)
6040,0998536-01,XCSP BBU TSH 0998535
6041,0998536-02,XCSP BBU TSH 0998535
6042,0998536-03,XCSP Metis 3C FRU TSH 0998535
6043,0998538-01,XCSP BBU TSH 0998537
6044,0998538-02,XCSP BBU TSH 0998537
6045,0998538-03,XCSP Metis 3C FRU TSH 0998537
6046,0998544-01,EVAL AP-BR2-AC16-1265-FRU-DELL
6047,0998544-02,AP-BR2-AC16-1265-FRU-DELL
6048,0998544-03,AP-BR2-AC16-1265-FRU-DELL
6049,0998544-04,AP-BR2-AC16-1265-FRU-DELL
6050,0998544-21,AP-BR2-AC16-1265-FRU-DELL
6051,0998544-22,AP-BR2-AC16-1265-FRU-DELL
6052,0998553-01,XCSP 764W PCM TSH 0998552
6053,0998553-02,XCSP 764W PCM TSH 0998552
6054,0998555-01,XCSP 764W PCM TSH 0998554
6055,0998555-02,XCSP 764W PCM TSH 0998554
6056,0998561-01,CS-UD-2T72-SAS-T10-CES3
6057,0998563-01,CS-UD-4T72-SAS-T10-CES3-FRU
6058,0998563-02,CS-UD-4T72-SAS-T10-CES3-FRU
6059,0998636-01,ES-600G10-SAS-10K6-FRU-COMP
6060,0998637-01,ES-600G10-SAS-10K6-APOS-FRU-COMP
6061,0998640-01,CS-UD-300G15-SAS-T10-15K3-FRU
6062,0998640-02,CS-UD-300G15-SAS-T10-15K3-FRU
6063,0998641-01,CS-2584-CMU2-T10-24T6 (15K3)
6064,0998658-01,XCSP Chassis 2U12 FRU TSH 0998657
6065,0998665-01,CS-ES-900G10-SAS-T10-10K6-FRU
6066,0998666-01,XCSP HDDIC 2TB MEGALODON FRU DG 0998662
6067,0998666-02,XCSP HDDIC 2TB MEGALODON FRU DG 0998662
6068,0998667-01,XCSP HDDIC 4TB MEGALODON FRU DG 0998663
6069,0998667-02,XCSP HDDIC 4TB MEGALODON FRU DG 0998663
6070,0998967-01,Eval AP-2425-2BR2-2P580-DELL
6071,0998967-02,AP-2425-2BR2-2P580-DELL
6072,0998967-03,AP-2425-2BR2-2P580-DELL
6073,0998967-04,AP-2425-2BR2-2P580-DELL
6074,0998967-05,AP-2425-2BR2-2P580-DELL
6075,0998967-06,AP-2425-2BR2-2P580-DELL
6076,0999014-01,UD-2T72-SAS-RE-FRU
6077,0999015-01,UD-3T72-SAS-RE-FRU
6078,0999016-01,UD-4T72-SAS-RE-FRU
6079,0999019-01,CP-SRV-2680-128G-6SAS-120GS-4-FRU
6080,0999021-01,CP-SRV-2680-128G-6SAS-120GS-2-FRU
6081,0999024-01,XCSP CS-UD-4T72-SAS-T10-RE 0999023
6082,0999026-01,not required
6083,0999028-01,CP-SW-7150S-24-AR-FRU
6084,0999030-01,CP-PDU-32A-EU-FRU
6085,0999032-01,CP-PDU-50A-US-FRU
6086,0999068-01,XCSP CS-UD-100GSS-SAS-T10-RPSB 0999067
6087,0999070-01,not required
6088,0999075-01,CS-9000-CST-SONEXION
6089,0999075-02,CS-9000-CST-SONEXION
6090,0999076-01,CS-2584-FASCIA1-SXN-2000-FRU
6091,0999076-02,CS-2584-FASCIA1-SXN-2000-FRU
6092,0999076-03,CS-2584-FASCIA1-SNX-2000-FRU
6093,0999077-01,CS-2584-S1-SXN-2000-FRU
6094,0999077-02,CS-2584-S1-SNX-2000-FRU
6095,0999077-03,CS-2584-S1-SNX-2000-FRU
6096,0999130-01,XCSP PCM 580W TSH FRU 0999128
6097,0999131-01,XCSP PCM 580W TSH FRU 0999129
6098,0999133-01,XCSP CONTROLLER EBOD TSH FRU 0999132
6099,0999138-01,XCSP CHASSIS 2U24 FRU TSH 0999137
6100,0999173-01,EVAL SP-3224-E12-2EBD-2PCM02-HE580-ORC
6101,0999173-02,EVAL SP-3224-E12-2EBD-2PCM02-HE580-ORC
6102,0999174-01,EVAL SP-3424-E12-2EBD-2PCM02-HE580-ORC
6103,0999174-02,Created in error please reuse
6104,0999185-01,EVAL Customer Reduxio Camaro Conf
6105,0999195-01,CS-2425-CMU2-T10-19TB8 (10K6)
6106,0999214-01,AP-TL-2648L2-32GB-IB-FRU-TSH
6107,0999214-02,Will be used later
6108,0999215-01,AP-TL-2648L2-32GB-10G-QL4-FRU-TSH
6109,0999215-02,Will be used later
6110,0999216-01,AP-TL-2648L2-32GB-10G-QL2-FRU-TSH
6111,0999216-02,Will be used later
6112,0999217-01,AP-TL-2618L2-16GB-10G-QL4-FRU-TSH
6113,0999217-02,Will be used later
6114,0999218-01,AP-TL-2618L2-16GB-10G-QL2-FRU-TSH
6115,0999220-01,AP-2224-TL-2648L2-32GB-IB-D-0TB-TSH
6116,0999221-01,AP-2224-TL-2648L2-32GB-10G-QL4-D-0TB-TSH
6117,0999222-01,AP-2224-TL-2648L2-32GB-10G-QL2-D-0TB-TSH
6118,0999223-01,AP-2224-TL-2618L2-16GB-10G-QL4-D-0TB-TSH
6119,0999224-01,AP-2224-TL-2618L2-16GB-10G-QL2-D-0TB-TSH
6120,0999225-01,AP-2212-TL-2618L2-16GB-10G-QL4-S-0TB-TSH
6121,0999226-01,AP-2212-TL-2618L2-16GB-10G-QL2-S-0TB-TSH
6122,0999243-01,ED-1T72-SAS-CON2-6PK-DELL
6123,0999243-02,ED-1T72-SAS-CON2-6PK-DELL
6124,0999274-01,ED-300G15-SAS-15K3-6PK-DELL
6125,0999274-02,ED-300G15-SAS-15K3-6PK-DELL
6126,0999284-01,ED-200GSS-SAS6-EVS-6PK-DELL
6127,0999284-02,ED-200GSS-SAS6-EVS-6PK-DELL
6128,0999287-01,ED-400GSS-SAS6-EVS-6PK-DELL
6129,0999287-02,ED-400GSS-SAS6-EVS-6PK-DELL
6130,0999499-01,ED-1600GSS-SAS6-EVR-6PK-DELL
6131,0999499-02,ED-1600GSS-SAS6-EVR-6PK-DELL
6132,0999500-01,CP-42U-32A-4-RACK
6133,0999501-01,CP-42U-32A-6-RACK
6134,0999502-01,CP-42U-50A-4-RACK
6135,0999503-01,CP-42U-50A-6-RACK
6136,0999506-01,XCSP Controller EBOD FRU DG 0999505
6137,0999506-02,XCSP Controller EBOD FRU DG 0999505
6138,0999570-01,Camaro to be re-used
6139,0999570-02,EVAL Carpo 2U12LFF  Dual SP 10G 1U 1 can
6140,0999666-01,EVAL EVT-2 1U 10G controller
6141,0999667-01,Customer EVAL EVT-2 for Tintri
6142,0999737-01,RS-SD-7.0.2-FRU-DELL
6143,0999744-01,>RS-CF-7.0.2-FRU-DELL
6144,0999761-01,CS-2584-9000ACT-GR-T10-164TB (CES3)
6145,0999761-02,CS-2584-9000ACT-GR-T10-164TB (CES3)
6146,0999761-03,>CS-2584-9000ACT-GR-T10-164TB (CES3)
6147,0999762-01,CS-2584-9000ACT-GR-T10-246TB (CES3)
6148,0999762-02,CS-2584-9000ACT-GR-T10-246TB (CES3)
6149,0999762-03,>CS-2584-9000ACT-GR-T10-246TB (CES3)
6150,0999763-01,CS-2584-9000ACT-GR-T10-328TB (CES3)
6151,0999763-02,CS-2584-9000ACT-GR-T10-328TB (CES3)
6152,0999763-03,>CS-2584-9000ACT-GR-T10-328TB (CES3)
6153,0999770-01,HNW-200GSS-SAS12-PUL3-FRU-MS
6154,0999770-02,HNW-200GSS-SAS12-PUL3-FRU-MS
6155,0999771-01,HNW-400GSS-SAS12-PUL3-FRU-MS
6156,0999771-02,HNW-400GSS-SAS12-PUL3-FRU-MS
6157,0999906-01,CS-SW-IB-QDR-I-18-1-FRU
6158,0999908-01,CS-SW-IB-QDR-I-36-1-FRU
6159,0999909-01,CS-9000-AC-T-32-FRU
6160,0999943-01,AP-2212-1-8.4TB-R13-MS (5020)
6161,0999943-02,>AP-2212-1-8.4TB-R13-MS (5020)
6162,0999944-01,AP-2212-1-14.6TB-R13-MS (7020A)
6163,0999944-02,>AP-2212-1-14.6TB-R13-MS (7020)
6164,0999945-01,AP-2212-1-28.2TB-R13-MS (5520)
6165,0999945-02,>AP-2212-1-28.2TB-R13-MS (5520)
6166,0999946-01,AP+SP-2212-1-59TB-R13-MS (7520)
6167,0999946-02,>AP+SP-2212-1-59TB-R13-MS (7520)
6168,0999967-01,SP-2584-SDPLN-HS2-LH-DELL-FRU
6169,0999967-02,SP-2584-SDPLN-HS2-LH-DELL-FRU
6170,0999967-03,SP-2584-SDPLN-HS2-LH-DELL-FRU
6171,0999997-01,>EVAL DDSU CARPO 2U24SFF - Kaminario
6172,10-0046-01,"PACKAGING,BROWN BOX,23.5""X11.75""X6.38"",P"
6173,10-0115-00,"Packaging,Brown Box w/Pure Logo, 2U24 Sh"
6174,10-0137-00,"BAG,ANTISTATIC,24.5""X12.75""X20""X.002,SQU"
6175,10-0183-00,"FOAM SET, 14-PACK, SSD,PSI"
6176,10-0188-00,"BAG,DESICCANT,SILICA GEL,4.5""X3.0"""
6177,10-0219-00,"FOAM,PAD,PE,FILLER,PSI"
6178,1000029-01,ED-1200G10-SAS-COBE-DELL-FRU
6179,1000030-01,ED-900G10-SAS-10K6-DELL-FRU
6180,1000031-01,ED-600G10-SAS-10K6-DELL-FRU
6181,1000032-01,ED-1600GSS-SAS6-EVR-DELL-FRU
6182,1000033-01,ED-400GSS-SAS6-EVS-DELL-FRU
6183,1000034-01,ED-200GSS-SAS6-EVS-DELL-FRU
6184,1000035-01,ED-300G15-SAS-15K3-DELL-FRU
6185,1000036-01,ED-1T72-SAS-CON2-DELL-FRU
6186,1000042-01,HNW-2T72-SAS6-T10-CES3-DD-FRU-DG
6187,1000043-01,HNW-4T72-SAS6-T10-CES3-DD-FRU-DG
6188,1000049-01,XCSP HDDIC 2TB MEGALODON FRU DG 1000044
6189,1000049-02,XCSP HDDIC 2TB MEGALODON FRU DG 1000044
6190,1000050-01,XCSP HDDIC 2TB MEGALODON FRU DG 1000045
6191,1000050-02,XCSP HDDIC 2TB MEGALODON FRU DG 1000045
6192,1000051-01,XCSP HDDIC 4TB MEGALODON FRU DG 1000046
6193,1000051-02,XCSP HDDIC 4TB MEGALODON FRU DG 1000046
6194,1000052-01,XCSP HDDIC 4TB MEGALODON FRU DG 1000047
6195,1000052-02,XCSP HDDIC 4TB MEGALODON FRU DG 1000047
6196,1000054-01,>EB-2425PC-E6-2EBD-2P580-12.2TB-1HG5-PSI
6197,1000055-01,>EB-2425PC-E6-2EBD-2P580-24.5TB-HG5-PSI
6198,1000056-01,>EB-2425PC-E6-2EBD-2P580-11.4TB-1HG5-PSI
6199,1000057-01,>EB-2425PC-E6-2EBD-2P580-22.7TB-HG5-PSI
6200,1000058-01,>EB-2425PC-E6-2EBD-2P580-6.1TB-HG5-PSI
6201,1000059-01,>EB-2425PC-E6-2EBD-2P580-12.2TB-2HG5-PSI
6202,1000060-01,>EB-2425PC-E6-2EBD-2P580-12.2TB-2HG5-PSI
6203,1000061-01,>EB-2425PC-E6-2EBD-2P580-11.4TB-2HG5-PSI
6204,1000072-01,EVAL CS-UD-6T72-SAS-CES4-FRU
6205,1000072-02,CS-UD-6T72-SAS-CES4-FRU
6206,1000072-03,CS-UD-6T72-SAS-CES4-FRU
6207,1000074-01,EVAL CS-UD-6T72-SAS-T10-CES4-FRU
6208,1000074-02,CS-UD-6T72-SAS-T10-CES4-FRU
6209,1000075-01,EVAL CS-2584-6000ACT-492TB (CES4)
6210,1000075-02,CS-2584-6000ACT-492TB (CES4)
6211,1000075-03,CS-2584-6000ACT-492TB (CES4)
6212,1000075-04,CS-2584-6000ACT-492TB (CES4)
6213,1000076-01,EVAL CS-2584-6000ACT-GR-T10-492TB (CES4)
6214,1000076-02,EVAL CS-2584-6000ACT-GR-T10-492TB (CES4)
6215,1000076-03,EVAL CS-2584-6000ACT-GR-T10-492TB (CES4)
6216,1000076-04,CS-2584-6000ACT-GR-T10-492TB (CES4)
6217,1000076-05,>CS-2584-6000ACT-GR-T10-492TB (CES4)
6218,1000077-01,EVAL CS-2584-9000ACT-GR-T10-492TB (CES4)
6219,1000077-02,>CS-2584-9000ACT-GR-T10-492TB (CES4)
6220,1000078-01,EVAL CS-2584-ESU-492TB (CES4)
6221,1000078-02,CS-2584-ESU-492TB (CES4)
6222,1000078-03,CS-2584-ESU-492TB (CES4)
6223,1000079-01,EVAL CS-2584-ESU-GR-T10-492TB (CES4)
6224,1000079-02,CS-2584-ESU-GR-T10-492TB (CES4)
6225,1000111-01,CSP-HS-1235E-23H1-8-1-1000110-01-IBM
6226,1000179-01,Eval SP-2584-G2-E6-2EBD-2P2800 (HT2)
6227,1000179-02,Eval SP-2584-G2-E6-2EBD-2P2800 (HT2)
6228,1000434-01,CS-2584-9000-ACT
6229,1000434-02,>CS-2584-9000-ACT
6230,1000488-01,>CS-UD-1T72-SAS-CES3-FRU
6231,1000503-01,XCSP Controller TL TSH C1 FRU 1000502
6232,1000803-05,Controller AP BR6 AC8 1265L (In House)
6233,1000803-06,Controller AP BR6 AC8 1265L (In House)
6234,1000803-07,Controller AP BR6 AC8 1265L (In House)
6235,1000803-08,Controller AP BR6 AC8 1265L (In House)
6236,1000804-05,Controller AP BR7 AC8 1265L (In House)
6237,1000804-06,Controller AP BR7 AC8 1265L (In House)
6238,1000804-07,Controller AP BR7 AC8 1265L (In House)
6239,1000844-01,CSP EBOD 1000843
6240,1000856-01,CS-42U2-US30-SDA
6241,1000857-01,CS-42U2-US50-SDA
6242,1000858-01,CS-2425-CMU2-13TB2-SDA
6243,1000858-02,CS-2425-CMU2-13TB2-SDA
6244,1000859-01,CS-2584-6000ACT-246TB-SDA
6245,1000859-02,CS-2584-6000ACT-246TB-SDA (CES3)
6246,1000859-03,CS-2584-6000ACT-246TB-SDA (CES3)
6247,1000859-04,CS-2584-6000ACT-246TB-SDA (CES3)
6248,1000859-05,>CS-2584-6000ACT-246TB-SDA (CES3)
6249,1000860-01,CS-2584-6000ACT-328TB-SDA
6250,1000860-02,CS-2584-6000ACT-328TB-SDA (CES3)
6251,1000860-03,CS-2584-6000ACT-328TB-SDA (CES3)
6252,1000860-04,CS-2584-6000ACT-328TB-SDA (CES3)
